pop2024,pop2020,growth,name,aland_sqmi,intptlat,intptlong,slug,usps,lsad,lng,lat,type,rank,density
629842,671570,-0.01629,Boston,48.34,42.3386,-71.0182,boston-ma,MA,2,-71.0182,42.3386,City,1,13029
205575,205063,0.00062,Worcester,37.36,42.2695,-71.8078,worcester-ma,MA,2,-71.8078,42.2695,City,2,5503
152721,155407,-0.00437,Springfield,31.87,42.1155,-72.54,springfield-ma,MA,2,-72.54,42.1155,City,3,4792
118627,118349,0.00059,Cambridge,6.397,42.376,-71.1187,cambridge-ma,MA,2,-71.1187,42.376,City,4,18544
111850,115366,-0.0078,Lowell,13.61,42.639,-71.321,lowell-ma,MA,2,-71.321,42.639,City,5,8218
104150,105502,-0.00323,Brockton,21.333,42.0825,-71.0246,brockton-ma,MA,2,-71.0246,42.0825,City,6,4882
101992,101462,0.00131,Quincy,16.573,42.261,-71.009,quincy-ma,MA,2,-71.009,42.261,City,7,6154
100687,101095,-0.00101,Lynn,10.739,42.4748,-70.962,lynn-ma,MA,2,-70.962,42.4748,City,8,9376
100377,100987,-0.00151,New Bedford,20.001,41.6613,-70.9379,new-bedford-ma,MA,2,-70.9379,41.6613,City,9,5019
93431,93933,-0.00134,Fall River,33.123,41.7253,-71.0942,fall-river-ma,MA,2,-71.0942,41.7253,City,10,2821
87032,88876,-0.00527,Lawrence,6.93,42.7003,-71.1614,lawrence-ma,MA,2,-71.1614,42.7003,City,11,12559
86003,88759,-0.00795,Newton,17.828,42.3318,-71.2084,newton-ma,MA,2,-71.2084,42.3318,City,12,4824
78710,80814,-0.00664,Somerville,4.123,42.3904,-71.101,somerville-ma,MA,2,-71.101,42.3904,City,13,19090
70384,60414,0.03672,Medford,8.098,42.4238,-71.1092,medford-ma,MA,2,-71.1092,42.4238,City,14,8692
69790,72136,-0.00833,Framingham,25.044,42.3079,-71.4362,framingham-ma,MA,2,-71.4362,42.3079,City,15,2787
68957,61018,0.13011,Plymouth,96.426,41.8941,-70.6186,plymouth-ma,MA,2,-70.6186,41.8941,Town,16,715
66638,67668,-0.00384,Haverhill,33.036,42.7829,-71.0874,haverhill-ma,MA,2,-71.0874,42.7829,City,17,2017
63413,66011,-0.01013,Malden,5.045,42.4294,-71.0587,malden-ma,MA,2,-71.0587,42.4294,City,18,12569
63084,65046,-0.00771,Waltham,12.745,42.3889,-71.2423,waltham-ma,MA,2,-71.2423,42.3889,City,19,4950
62854,59223,0.00124,Brookline,6.76,42.3239,-71.142,brookline-ma,MA,5,-71.142,42.3239,CDP,20,9298
60374,59470,0.00376,Taunton,46.708,41.9033,-71.095,taunton-ma,MA,2,-71.095,41.9033,City,21,1293
57359,57461,-0.00044,Weymouth Town,16.765,42.2073,-70.9437,weymouth-town-ma,MA,2,-70.9437,42.2073,City,22,3421
55189,61867,-0.02935,Revere,5.704,42.421,-70.9904,revere-ma,MA,2,-70.9904,42.421,City,23,9675
54517,55443,-0.00422,Chicopee,22.906,42.1776,-72.5702,chicopee-ma,MA,2,-72.5702,42.1776,City,24,2380
53497,52985,0.0024,Methuen Town,22.212,42.7426,-71.1786,methuen-town-ma,MA,2,-71.1786,42.7426,City,25,2408
53404,54388,-0.00459,Peabody,16.237,42.5343,-70.9694,peabody-ma,MA,2,-70.9694,42.5343,City,26,3289
